category,image,no_review,price,rating,stock,title,upc,url
Poetry,http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,0,£51.77,Three,In stock,A Light in the Attic,a897fe39b1053632,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Poetry,http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,0,£20.66,Four,In stock,Shakespeare's Sonnets,30a7f60cd76ca58c,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Historical Fiction,http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,0,£53.74,One,In stock,Tipping the Velvet,90fa61229261140a,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Fiction,http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,0,£50.10,One,In stock,Soumission,6957f44c3847a760,http://books.toscrape.com/catalogue/soumission_998/index.html
Default,http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,0,£13.99,Two,In stock,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Poetry,http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,0,£52.15,One,In stock,The Black Maria,1dfe412b8ac00530,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
Young Adult,http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,0,£22.65,One,In stock,The Requiem Red,f77dbf2323deb740,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
History,http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,0,£54.23,Five,In stock,Sapiens: A Brief History of Humankind,4165285e1663650f,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
Sequential Art,http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,0,£52.29,Five,In stock,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Mystery,http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,0,£47.82,Four,In stock,Sharp Objects,e00eb4fd7b871a48,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
Young Adult,http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,0,£17.46,Five,In stock,Set Me Free,ce6396b0f23f6ecc,http://books.toscrape.com/catalogue/set-me-free_988/index.html
Default,http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,0,£22.60,Four,In stock,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
Business,http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,0,£33.34,Four,In stock,The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Default,http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,0,£17.93,Three,In stock,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
Travel,http://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,0,£45.17,Two,In stock,It's Only the Himalayas,a22124811bfa8350,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Politics,http://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,0,£51.33,Two,In stock,Libertarianism for Beginners,a18a4f574854aced,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
Science Fiction,http://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,0,£37.59,One,In stock,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Music,http://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,0,£57.25,Three,In stock,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Poetry,http://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,0,£23.88,One,In stock,Olio,feb7cc7701ecf901,http://books.toscrape.com/catalogue/olio_984/index.html
Music,http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,0,£35.02,Five,In stock,Rip it Up and Start Again,a34ba96d4081e6a4,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
